"GEOID","NAME","med_income_E","med_income_M"
"06075042800","Census Tract 428, San Francisco County, California",95098,16090
"06075026404","Census Tract 264.04, San Francisco County, California",30574,1941
"06075030600","Census Tract 306, San Francisco County, California",80370,11132
"06075031000","Census Tract 310, San Francisco County, California",64930,13162
"06075033201","Census Tract 332.01, San Francisco County, California",4811,416
"06075011100","Census Tract 111, San Francisco County, California",66196,13730
"06075011700","Census Tract 117, San Francisco County, California",38125,11285
"06075016600","Census Tract 166, San Francisco County, California",70265,13424
"06075017902","Census Tract 179.02, San Francisco County, California",16976,6451
"06075021400","Census Tract 214, San Francisco County, California",86970,18135
"06075021700","Census Tract 217, San Francisco County, California",68790,15181
"06075022802","Census Tract 228.02, San Francisco County, California",29556,15845
"06075022901","Census Tract 229.01, San Francisco County, California",35395,9146
"06075022902","Census Tract 229.02, San Francisco County, California",42031,7853
"06075022903","Census Tract 229.03, San Francisco County, California",58529,21838
"06075023003","Census Tract 230.03, San Francisco County, California",33717,9627
"06075026403","Census Tract 264.03, San Francisco County, California",26674,2585
"06075030201","Census Tract 302.01, San Francisco County, California",60759,6701
"06075030302","Census Tract 303.02, San Francisco County, California",54066,10153
"06075015600","Census Tract 156, San Francisco County, California",54114,2189
"06075010200","Census Tract 102, San Francisco County, California",91122,12170
"06075010800","Census Tract 108, San Francisco County, California",66850,16782
"06075033100","Census Tract 331, San Francisco County, California",48300,9977
"06075040200","Census Tract 402, San Francisco County, California",65129,8677
"06075030400","Census Tract 304, San Francisco County, California",62684,8540
"06075026004","Census Tract 260.04, San Francisco County, California",36308,5661
"06075030101","Census Tract 301.01, San Francisco County, California",64214,5563
"06075033000","Census Tract 330, San Francisco County, California",50806,10842
"06075025403","Census Tract 254.03, San Francisco County, California",44178,13622
"06075026401","Census Tract 264.01, San Francisco County, California",30258,6004
"06075030202","Census Tract 302.02, San Francisco County, California",79131,14433
"06075035300","Census Tract 353, San Francisco County, California",42353,8412
"06075047600","Census Tract 476, San Francisco County, California",55685,7255
"06075010600","Census Tract 106, San Francisco County, California",41204,11833
"06075061000","Census Tract 610, San Francisco County, California",41471,8199
"06075020300","Census Tract 203, San Francisco County, California",92389,5978
"06075020700","Census Tract 207, San Francisco County, California",104269,14204
"06075020800","Census Tract 208, San Francisco County, California",52919,10795
"06075021100","Census Tract 211, San Francisco County, California",101400,8878
"06075021200","Census Tract 212, San Francisco County, California",102895,8817
"06075021300","Census Tract 213, San Francisco County, California",96635,11908
"06075010700","Census Tract 107, San Francisco County, California",16369,3234
"06075016200","Census Tract 162, San Francisco County, California",75255,17127
"06075016900","Census Tract 169, San Francisco County, California",75167,5540
"06075025200","Census Tract 252, San Francisco County, California",73567,11639
"06075010100","Census Tract 101, San Francisco County, California",28000,10216
"06075011200","Census Tract 112, San Francisco County, California",79674,10004
"06075013400","Census Tract 134, San Francisco County, California",105273,7854
"06075015100","Census Tract 151, San Francisco County, California",80492,16233
"06075015700","Census Tract 157, San Francisco County, California",41859,10643
"06075016400","Census Tract 164, San Francisco County, California",90455,8885
"06075061500","Census Tract 615, San Francisco County, California",123796,24043
"06075010300","Census Tract 103, San Francisco County, California",74880,3256
"06075011000","Census Tract 110, San Francisco County, California",69717,6226
"06075015400","Census Tract 154, San Francisco County, California",87417,10171
"06075010400","Census Tract 104, San Francisco County, California",76688,13720
"06075025500","Census Tract 255, San Francisco County, California",40716,9160
"06075017802","Census Tract 178.02, San Francisco County, California",44757,7498
"06075025600","Census Tract 256, San Francisco County, California",36300,3976
"06075025800","Census Tract 258, San Francisco County, California",35000,6483
"06075026001","Census Tract 260.01, San Francisco County, California",28074,3292
"06075045100","Census Tract 451, San Francisco County, California",60867,8814
